keyword,count
depression,3836
gratitude,3753
happy,3298
love,2517
happiness,2144
politics,1539
pain,1419
sad,1399
withdrawn,1342
daily,1203
depressed,1183
loneliness,1147
politician,1113
sadness,1111
joy,1047
alone,1029
god,972
darkness,952
tired,933
suicide,928
good,869
death,849
lost,818
despair,816
anxiety,778
crying,763
life,749
fear,718
heart,716
together,693
beautiful,675
hope,654
not,621
sleep,615
exhausted,605
die,596
thanks,562
lethargy,549
no,540
feeling,539
like,529
hate,503
friends,499
broken,496
smile,487
lonely,485
suffering,456
friend,455
sorrow,442
hopelessness,435
