Model,Language,Accuracy,Precision,Recall,F1 Score
claude,arabic,0.7992,0.9431,0.6368,0.7603
claude,chinese,0.6096,0.9322,0.2364,0.3772
claude,urdu,0.7056,0.9795,0.4200,0.5879
deepseek-local,arabic,0.7675,0.8295,0.6950,0.7563
gemini,arabic,0.8665,0.9046,0.8196,0.8600
gemini,chinese,0.7112,0.8010,0.5620,0.6606
gemini,urdu,0.8984,0.8744,0.9304,0.9016
meta-llama-3.1-8b-instruct,arabic,0.8234,0.8159,0.8352,0.8255
meta-llama-3.1-8b-instruct,chinese,0.6826,0.8029,0.4840,0.6039
meta-llama-3.1-8b-instruct,urdu,0.8536,0.8110,0.9220,0.8630
openai,arabic,0.8018,0.9660,0.6256,0.7594
openai,chinese,0.6398,0.8787,0.3244,0.4739
openai,urdu,0.8944,0.9595,0.8236,0.8864
