language,model,f1_score,accuracy,precision,recall
arabic,gemini,0.86,0.8665,0.9046,0.8196
arabic,gemma,0.8302,0.8344,0.8519,0.8095
arabic,llama,0.8255,0.8234,0.8159,0.8352
arabic,deepseek,0.7736,0.7907,0.8428,0.7149
arabic,claude,0.7603,0.7992,0.9431,0.6368
arabic,openai,0.7594,0.8018,0.966,0.6256
chinese,gemini,0.6606,0.7112,0.801,0.562
chinese,llama,0.6039,0.6826,0.8029,0.484
chinese,deepseek,0.5158,0.6476,0.8261,0.375
chinese,openai,0.4739,0.6398,0.8787,0.3244
chinese,gemma,0.4436,0.6308,0.8998,0.2944
chinese,claude,0.3772,0.6096,0.9322,0.2364
urdu,gemini,0.9016,0.8984,0.8744,0.9304
urdu,openai,0.8864,0.8944,0.9595,0.8236
urdu,gemma,0.8722,0.8726,0.8752,0.8692
urdu,llama,0.863,0.8536,0.811,0.922
urdu,deepseek,0.677,0.7188,0.7966,0.5885
urdu,claude,0.5879,0.7056,0.9795,0.42
